ALogP,nHBAcc,LipinskiFailures,Label
0.0,0.0,1.0,0
0.926,0.0,0.0,0
0.8289000000000001,4.0,0.0,0
-0.7499,1.0,0.0,0
-1.1054000000000008,5.0,0.0,0
2.0293,0.0,0.0,0
2.2286,0.0,0.0,0
1.7428,0.0,0.0,0
2.3992,0.0,0.0,0
2.0212000000000003,2.0,1.0,0
-1.2914,4.0,0.0,0
-0.2638,1.0,1.0,0
0.2167,2.0,0.0,0
0.4439999999999997,6.0,0.0,0
0.8237000000000003,4.0,1.0,0
-1.7517,4.0,0.0,0
2.2329,0.0,0.0,0
-0.2944999999999998,3.0,0.0,0
1.4044,0.0,0.0,0
-0.0897999999999998,1.0,0.0,0
0.7566000000000002,0.0,0.0,0
-0.0962999999999997,1.0,0.0,0
-2.2932,7.0,0.0,0
-1.7517,4.0,0.0,0
0.1717999999999994,3.0,0.0,0
0.0,0.0,1.0,0
0.0,1.0,0.0,0
-0.4237999999999997,6.0,0.0,0
-0.4603,0.0,1.0,0
0.2397,2.0,0.0,0
0.5341000000000002,1.0,0.0,0
0.5341000000000002,1.0,0.0,0
1.7725999999999995,0.0,0.0,0
-0.1415999999999999,1.0,0.0,0
1.0981,0.0,0.0,0
0.1186000000000001,3.0,0.0,0
1.3163999999999996,2.0,0.0,0
1.1539000000000004,0.0,1.0,0
0.4449999999999998,2.0,0.0,0
-0.0041000000000001,0.0,1.0,0
-0.1541,0.0,1.0,0
-1.2981000000000005,4.0,0.0,0
-0.1308999999999998,1.0,1.0,0
-0.0676999999999997,1.0,0.0,0
0.2293999999999997,1.0,0.0,0
0.6137999999999999,0.0,1.0,0
1.4886,0.0,0.0,0
0.2839999999999999,0.0,0.0,0
1.8008000000000002,0.0,0.0,0
3.166300000000001,0.0,0.0,0
-2.2497,6.0,0.0,0
-0.2194000000000007,0.0,0.0,0
0.5337,1.0,0.0,0
0.5906,0.0,0.0,0
-9.714200000000003,4.0,2.0,0
-0.2582000000000007,3.0,0.0,0
2.4423999999999992,4.0,0.0,0
2.2038,4.0,0.0,0
-1.7827999999999984,4.0,2.0,0
-0.0676999999999997,1.0,0.0,0
0.1153999999999998,2.0,1.0,0
2.246199999999999,2.0,0.0,0
2.3071,2.0,0.0,0
-0.4204,1.0,0.0,0
-0.9780000000000004,2.0,0.0,0
2.4288,0.0,0.0,0
0.0,0.0,1.0,0
1.6458000000000004,3.0,0.0,0
0.0,1.0,1.0,0
1.3037,4.0,0.0,0
9.2427,1.0,2.0,0
2.2457000000000003,4.0,2.0,0
-1.2501,3.0,0.0,0
0.2081999999999997,4.0,0.0,0
1.9622000000000008,0.0,0.0,0
0.5743000000000003,1.0,0.0,0
-1.1160000000000003,4.0,0.0,0
0.3238999999999999,1.0,0.0,0
3.112400000000001,0.0,0.0,0
0.6420000000000001,0.0,1.0,0
0.2956,1.0,0.0,0
0.6420000000000001,0.0,1.0,0
1.6855000000000002,1.0,0.0,0
0.5575000000000015,5.0,0.0,0
-0.899,2.0,2.0,0
-1.405200000000003,1.0,0.0,0
2.0586,4.0,0.0,0
